"DateTime","Prices","Volume","OffPeak","OffPeak1","SunPeak","OffPeak2","BasePrice","BaseVolume","PeakPrice","PeakVolume"
2017-01-02 01:30:00,28.05,228.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 01:45:00,16.41,395.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 02:00:00,41.24,188.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 02:15:00,32.49,134.4,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 02:30:00,31.08,167.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 02:45:00,27.94,221,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 03:00:00,32.97,219.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 03:15:00,30.95,157.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 03:30:00,31.66,170.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 03:45:00,35.18,230.4,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 04:00:00,23.07,346.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 04:15:00,28.69,211.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 04:30:00,32.44,224.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 04:45:00,40.06,337.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 05:00:00,14.62,749.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 05:15:00,20.48,410.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 05:30:00,40.38,304.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 05:45:00,49.75,878.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 06:00:00,20.04,1481.4,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 06:15:00,40.25,597.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 06:30:00,46.8,530.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 06:45:00,51.38,1254,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 07:00:00,40.71,967.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 07:15:00,50.18,409.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 07:30:00,55.68,523,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 07:45:00,64.95,1085.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 08:00:00,51.46,589.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 08:15:00,52.4,406.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 08:30:00,56.3,313,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 08:45:00,56.65,480.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 09:00:00,55.13,721.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 09:15:00,55.12,474.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 09:30:00,55.65,381.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 09:45:00,54.42,615.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 10:00:00,54.34,498.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 10:15:00,54.3,291.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 10:30:00,54.17,374.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 10:45:00,55.43,554.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 11:00:00,51.49,328.4,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 11:15:00,52.32,205.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 11:30:00,55.36,284,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 11:45:00,55.88,382.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 12:00:00,54.62,362.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 12:15:00,51.49,192.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 12:30:00,51.92,229.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 12:45:00,52.08,270.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 13:00:00,57.33,661.4,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 13:15:00,56.72,473.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 13:30:00,55.17,447.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 13:45:00,53.12,725,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 14:00:00,53.29,601.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 14:15:00,55.45,453.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 14:30:00,56.72,403.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 14:45:00,58.28,494.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 15:00:00,56.72,586.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 15:15:00,56.73,420.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 15:30:00,56.77,325.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 15:45:00,56.79,425.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 16:00:00,53.13,612.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 16:15:00,54.98,482.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 16:30:00,57.65,337.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 16:45:00,69.16,832.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 17:00:00,56.78,514.5,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 17:15:00,61.59,377,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 17:30:00,66.29,271.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 17:45:00,67.3,486.4,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 18:00:00,57.71,452.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 18:15:00,56.72,353.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 18:30:00,56.73,330.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 18:45:00,55.93,599.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 19:00:00,59.9,611.7,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 19:15:00,56.62,293.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 19:30:00,53,474.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 19:45:00,49.54,776.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 20:00:00,60.31,1139.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 20:15:00,53.28,519.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 20:30:00,43.38,350.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 20:45:00,31.38,766.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 21:00:00,50.4,592.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 21:15:00,47.78,264.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 21:30:00,37.92,263.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 21:45:00,33.92,710.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 22:00:00,52.92,872,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 22:15:00,50.99,359.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 22:30:00,40.73,266.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 22:45:00,37.93,865,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 23:00:00,50.25,714.9,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 23:15:00,46.51,305.2,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 23:30:00,37.36,322,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 23:45:00,31.1,766.3,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-03 00:00:00,51.32,706.6,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 00:15:00,46.58,378.4,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 00:30:00,35.4,397.8,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 00:45:00,22.22,619.7,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 01:00:00,46.49,532.9,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 01:15:00,37.99,293.5,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 01:30:00,37.68,221.2,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 01:45:00,35.99,466.1,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 02:00:00,42.95,393.7,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 02:15:00,33.25,311.5,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 02:30:00,30.13,326.9,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 02:45:00,23.28,411.2,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 03:00:00,33.33,323.4,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 03:15:00,31.04,320.9,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 03:30:00,29.81,321.6,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 03:45:00,30.93,407.2,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 04:00:00,31.04,290.2,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 04:15:00,34.43,162.2,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 04:30:00,36,96.7,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 04:45:00,41.16,263.6,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 05:00:00,31.26,694.5,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 05:15:00,38.04,480.5,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 05:30:00,37.68,317.8,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
2017-01-03 05:45:00,47.48,924.3,35,38.96,48.15,27.1,41.96,53048.3,48.92,25261.4
